2011-2012 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Syracuse,31-2,0.6667,27,1.6,0.9441,0.5867 (24),0.5494,22,0.5742,2,2
2,Kentucky,32-2,0.6652,28,1.6,0.9459,0.5784 (28),0.5579,25,0.5716,1,1
3,Michigan St,26-7,0.6596,22.4,5.8,0.7943,0.6447 (1),0.5547,1,0.6147,8,8
4,North Carolina,29-5,0.6576,25.4,4.6,0.8467,0.6169 (5),0.5499,5,0.5945,4,4
5,Duke,27-6,0.6514,25,6.4,0.7962,0.6245 (3),0.5604,2,0.6031,6,6
6,Kansas,27-6,0.6417,23.8,5.6,0.8095,0.6004 (12),0.5567,11,0.5858,3,3
7,Ohio State,27-7,0.6379,22.6,6.2,0.7847,0.6044 (10),0.5582,7,0.589,7,7
8,Baylor,26-7,0.6331,24,7,0.7742,0.6098 (8),0.5386,10,0.5861,12,11
9,Marquette,25-7,0.633,21.4,5.4,0.7985,0.5914 (20),0.5508,17,0.5778,9,9
10,Missouri,30-4,0.6298,26.4,3.2,0.8919,0.5392 (89),0.5487,69,0.5424,5,5
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Florida St,24-9,0.6259,20,7.8,0.7194,0.6170 (4),0.5502,4,0.5947,17,17
12,Wichita St,26-5,0.622,24.4,5,0.8299,0.5663 (47),0.5257,56,0.5527,16,16
13,Michigan,23-9,0.6214,19.8,7,0.7388,0.5915 (19),0.5639,13,0.5823,10,13
14,Louisville,26-9,0.6207,22,8.6,0.719,0.6060 (9),0.5518,8,0.588,,
15,Georgetown,22-8,0.6201,18,6.4,0.7377,0.5978 (13),0.5472,14,0.5809,13,14
16,Memphis,26-8,0.6196,21.6,7.2,0.75,0.5930 (17),0.5427,20,0.5762,,
17,Indiana,25-8,0.6176,19.8,6,0.7674,0.5792 (27),0.5445,31,0.5676,15,15
18,UNLV,24-8,0.6158,20,5.6,0.7813,0.5756 (36),0.5309,41,0.5607,20,20
19,Vanderbilt,24-10,0.6156,21.2,10,0.6795,0.6166 (6),0.5499,6,0.5943,,
20,Temple,24-7,0.6153,23.2,5.8,0.8,0.5633 (50),0.5343,54,0.5537,21,24
,,,,,,,,,,,,
,,,,,,,,,,,,
21,Southern Miss,23-8,0.6138,20.6,5.6,0.7863,0.5684 (44),0.5321,47,0.5563,,
22,Murray St,27-1,0.6119,27.4,1.4,0.9514,0.5000 (159),0.4962,158,0.4988,11,10
23,Wisconsin,24-9,0.6094,21.2,9,0.702,0.5916 (18),0.5522,16,0.5785,14,12
24,Creighton,28-5,0.608,26.4,4.6,0.8516,0.5257 (114),0.5288,102,0.5268,19,22
25,Gonzaga,25-6,0.6078,21,4.8,0.814,0.5481 (70),0.5211,78,0.5391,24,25
26,San Diego St,24-7,0.6063,20.8,6.2,0.7704,0.5615 (54),0.5316,58,0.5516,18,21
27,New Mexico,26-6,0.6063,24,5.6,0.8108,0.5403 (87),0.5336,82,0.5381,,
28,St. Mary's,25-5,0.6058,22.6,4.2,0.8433,0.5369 (94),0.5063,103,0.5267,,18
29,Colorado St,19-11,0.6051,15,7.8,0.6579,0.6155 (7),0.5316,9,0.5875,,
30,Florida,23-10,0.605,19,8,0.7037,0.5826 (25),0.5513,24,0.5721,22,19
,,,,,,,,,,,,
,,,,,,,,,,,,
31,Saint Louis,24-7,0.5991,20.8,5.4,0.7939,0.5352 (99),0.5319,89,0.5341,,
32,Connecticut,20-13,0.5937,16,11.8,0.5755,0.6269 (2),0.5455,3,0.5998,,
33,Iowa State,22-10,0.5916,17.2,8,0.6825,0.5725 (38),0.5386,39,0.5612,25,
34,Long Beach,23-8,0.5901,22.2,5.2,0.8102,0.5287 (109),0.4929,123,0.5168,,
35,Harvard,25-4,0.5896,25.8,3.2,0.8897,0.4773 (209),0.5143,184,0.4896,,
36,Alabama,21-11,0.5883,17.4,9.4,0.6493,0.5770 (32),0.5497,30,0.5679,,
37,California,24-9,0.5857,19.2,7,0.7328,0.5429 (79),0.5242,85,0.5367,,
38,VCU,28-6,0.5842,26.8,5.2,0.8375,0.4922 (180),0.515,154,0.4998,,
39,Notre Dame,22-11,0.5839,17.6,9.4,0.6519,0.5693 (43),0.5454,38,0.5613,23,23
40,Iona,25-7,0.5819,25.4,5.8,0.8141,0.5071 (144),0.4992,144,0.5045,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
41,Xavier,21-12,0.5813,17.8,10.4,0.6312,0.5795 (26),0.535,36,0.5647,,
42,Cincinnati,24-10,0.5804,21.2,9.6,0.6883,0.5423 (80),0.5486,65,0.5444,,
43,South Dakota St,25-7,0.5798,23.4,4.2,0.8478,0.4896 (183),0.4923,180,0.4905,,
44,Marshall,20-13,0.5798,17.2,11.4,0.6014,0.5948 (16),0.5281,23,0.5726,,
45,BYU,23-8,0.5783,21.8,8,0.7315,0.5324 (104),0.5166,101,0.5272,,
46,Ohio,26-7,0.5782,23.2,5,0.8227,0.4940 (174),0.5022,165,0.4967,,
47,Purdue,21-12,0.5779,17.8,11.6,0.6054,0.5776 (31),0.551,28,0.5687,,
48,Kansas St,21-10,0.5775,18.6,10,0.6503,0.5540 (64),0.5515,55,0.5532,,
49,North Carolina St,22-12,0.5771,18.8,12.8,0.5949,0.5886 (23),0.5365,26,0.5712,,
50,Texas,20-13,0.5771,15.6,11.4,0.5778,0.5949 (15),0.5409,19,0.5769,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51,Oral Roberts,27-6,0.5769,25,4.4,0.8503,0.4779 (203),0.5013,193,0.4857,,
52,South Florida,19-13,0.5763,15.8,10.6,0.5985,0.5776 (30),0.5515,27,0.5689,,
53,Virginia,22-9,0.5762,19.6,8.6,0.695,0.5356 (97),0.5385,86,0.5365,,
54,UCF,20-10,0.5757,15.6,7.2,0.6842,0.5432 (78),0.5322,76,0.5395,,
55,Akron,21-11,0.5744,19.4,9,0.6831,0.5599 (60),0.4948,81,0.5382,,
56,Middle Tenn St,24-6,0.5738,22.8,4.8,0.8261,0.4816 (194),0.5061,183,0.4898,,
57,West Virginia,19-13,0.5736,16.2,12.6,0.5625,0.5898 (22),0.5523,18,0.5773,,
58,Belmont,26-7,0.573,25.2,5,0.8344,0.4790 (201),0.4997,191,0.4859,,
59,New Mexico St,24-9,0.5728,22,8.2,0.7285,0.5315 (105),0.4997,116,0.5209,,
60,Miami (FL),19-12,0.5724,15.8,10,0.6124,0.5626 (53),0.552,43,0.5591,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61,Mississippi,20-13,0.5722,16.8,10.6,0.6131,0.5653 (49),0.5452,45,0.5586,,
62,Colorado,21-11,0.5717,17.8,9,0.6642,0.5461 (73),0.5303,72,0.5408,,
63,Oregon,22-9,0.5705,18.8,8.6,0.6861,0.5403 (86),0.5154,93,0.532,,
64,Davidson,24-7,0.5705,22.8,5.8,0.7972,0.4973 (165),0.4901,171,0.4949,,
65,Northwestern,18-13,0.5702,15.2,12.2,0.5547,0.5899 (21),0.546,21,0.5753,,
66,Drexel,27-6,0.5701,26.2,4.8,0.8452,0.4677 (229),0.4999,212,0.4784,,
67,Nevada,24-6,0.5701,22.4,6,0.7887,0.4950 (170),0.5017,162,0.4973,,
68,Seton Hall,20-12,0.5693,16.4,10.4,0.6119,0.5612 (57),0.5427,49,0.555,,
69,Saint Joseph's,20-13,0.5667,16.8,11,0.6043,0.5702 (42),0.5223,51,0.5542,,
70,Weber St,22-6,0.5658,19.6,3.6,0.8448,0.4704 (223),0.4777,225,0.4728,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,Washington,21-10,0.5658,17.4,8.8,0.6641,0.5410 (84),0.5171,92,0.533,,
72,St. Bonaventure,20-11,0.5614,18,8.6,0.6767,0.5186 (125),0.5318,112,0.523,,
73,Northern Iowa,18-13,0.5611,14.8,10.6,0.5827,0.5674 (45),0.5269,52,0.5539,,
