2008-2009 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Duke,28-6,0.6677,24,4.4,0.8451,0.6321 (3),0.5614,1,0.6086,9,8
2,Pittsburgh,27-4,0.667,22.6,2.8,0.8898,0.6110 (8),0.5563,8,0.5927,2,2
3,North Carolina,27-4,0.6531,24.6,3.6,0.8723,0.5870 (27),0.5661,22,0.58,1,1
4,Louisville,28-5,0.6463,24.8,5.4,0.8212,0.6027 (15),0.5586,11,0.588,5,5
5,Oklahoma,27-5,0.6459,23.8,4.2,0.85,0.5919 (25),0.5497,26,0.5778,6,7
6,Michigan St,26-6,0.6449,24.8,6.4,0.7949,0.6137 (6),0.5571,6,0.5948,7,6
7,Memphis,31-3,0.644,27.4,3,0.9013,0.5704 (39),0.5339,49,0.5582,4,3
8,Connecticut,27-4,0.6432,25,4.4,0.8503,0.5831 (31),0.5563,29,0.5742,3,4
9,Utah,24-8,0.632,21.2,5.6,0.791,0.6009 (17),0.5351,23,0.579,,
10,Missouri,27-6,0.631,22.2,4.4,0.8346,0.5709 (38),0.5477,38,0.5631,14,15
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Kansas,25-7,0.6296,20.2,5.8,0.7769,0.5936 (22),0.5542,20,0.5805,11,11
12,Syracuse,25-9,0.6252,21,8.2,0.7192,0.6125 (7),0.5567,7,0.5939,18,20
13,Villanova,26-7,0.6244,23.2,6.6,0.7785,0.5836 (30),0.5517,31,0.573,10,13
14,Washington,24-8,0.6213,19.6,6.8,0.7424,0.6023 (16),0.538,19,0.5809,13,10
15,Florida St,25-9,0.6201,22.6,8.2,0.7338,0.5962 (19),0.5543,17,0.5822,22,22
16,Wake Forest,24-6,0.6184,21.2,4.8,0.8154,0.5520 (69),0.5542,56,0.5527,8,9
17,Xavier,25-7,0.6174,22.2,5.8,0.7929,0.5688 (41),0.539,47,0.5589,19,19
18,Siena,26-7,0.6122,22.8,5.4,0.8085,0.5615 (55),0.5174,66,0.5468,,
19,Oklahoma St,22-11,0.611,18,9.4,0.6569,0.6228 (4),0.5416,5,0.5957,,
20,Purdue,25-9,0.6109,21,8.2,0.7192,0.5869 (28),0.5507,28,0.5748,24,24
,,,,,,,,,,,,
,,,,,,,,,,,,
21,West Virginia,23-11,0.6106,21.4,10.2,0.6772,0.6039 (14),0.5573,10,0.5884,,
22,Illinois,24-9,0.6101,20.4,8.2,0.7133,0.5879 (26),0.5511,27,0.5756,,25
23,Utah St,29-4,0.609,27,2.8,0.906,0.5126 (133),0.5048,135,0.51,,
24,Butler,25-5,0.6084,23.8,4.6,0.838,0.5412 (85),0.5133,96,0.5319,16,17
25,Tennessee,21-12,0.6082,19.4,12,0.6178,0.6368 (2),0.5415,3,0.605,,
26,Gonzaga,25-5,0.6041,24.6,5.4,0.82,0.5359 (93),0.5245,92,0.5321,12,12
27,Dayton,26-7,0.6037,20.8,4.6,0.8189,0.5393 (88),0.5173,95,0.5319,,
28,Clemson,23-8,0.6032,20.6,7.6,0.7305,0.5676 (47),0.547,42,0.5607,17,18
29,BYU,24-7,0.6028,22.4,6.6,0.7724,0.5549 (62),0.529,67,0.5463,25,
30,Temple,22-11,0.601,22,8.6,0.719,0.5798 (34),0.5254,41,0.5616,,
,,,,,,,,,,,,
,,,,,,,,,,,,
31,Arizona St,24-9,0.6005,21.2,8.6,0.7114,0.5700 (40),0.5505,37,0.5635,23,23
32,Ohio State,22-10,0.6002,17.6,8.8,0.6667,0.5867 (29),0.5607,24,0.5781,,
33,UCLA,25-8,0.5991,21,7.2,0.7447,0.5502 (72),0.5514,61,0.5506,15,14
34,San Diego St,21-9,0.5975,18.6,7.8,0.7045,0.5803 (33),0.5248,40,0.5618,,
35,Marquette,24-9,0.5974,20.4,8.2,0.7133,0.5635 (52),0.5492,48,0.5587,21,21
