2010-2011 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Kansas,32-2,0.6793,28.8,2,0.9351,0.6152 (10),0.5517,9,0.594,2,2
2,Ohio State,32-2,0.6723,27.6,1.2,0.9583,0.5885 (26),0.554,23,0.577,1,1
3,San Diego St,30-2,0.6672,30,2,0.9375,0.5912 (22),0.549,22,0.5771,7,6
4,Duke,30-4,0.6611,25.6,2.4,0.9143,0.5896 (24),0.551,24,0.5768,5,5
5,BYU,29-4,0.6526,28.2,4,0.8758,0.5986 (18),0.5373,21,0.5782,8,8
6,North Carolina,26-7,0.6485,22.8,5.8,0.7972,0.6229 (6),0.551,6,0.5989,6,7
7,Kentucky,25-8,0.6461,20.6,5.2,0.7984,0.6165 (8),0.5529,8,0.5953,15,16
8,Florida,26-7,0.6414,23.6,7.4,0.7613,0.6274 (3),0.5495,4,0.6014,12,12
9,Notre Dame,26-6,0.6414,21.2,4.4,0.8281,0.5894 (25),0.5585,20,0.5791,4,4
10,Pittsburgh,27-5,0.6377,23,4.6,0.8333,0.5791 (32),0.5593,31,0.5725,3,3
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Texas,27-7,0.6352,23.4,6.6,0.78,0.6046 (14),0.5517,15,0.587,10,10
12,Purdue,25-7,0.6343,21.4,5,0.8106,0.5864 (27),0.5539,25,0.5756,9,9
13,Georgetown,21-10,0.6323,19.8,9.6,0.6735,0.6503 (1),0.5553,1,0.6186,22,22
14,Connecticut,26-9,0.6305,22.8,8.6,0.7261,0.6162 (9),0.5635,7,0.5986,21,19
15,Utah St,29-3,0.6242,27,1.8,0.9375,0.5268 (112),0.5059,120,0.5198,23,17
16,Wisconsin,23-8,0.6227,18.6,5.6,0.7686,0.5853 (28),0.5516,28,0.574,13,13
17,Louisville,25-9,0.6222,19,7.4,0.7197,0.6071 (12),0.5548,13,0.5897,14,14
18,Syracuse,26-7,0.6201,22.4,7,0.7619,0.5765 (34),0.5654,29,0.5728,11,11
19,Arizona,27-7,0.617,23,5.4,0.8099,0.5598 (54),0.5386,51,0.5527,16,15
20,Old Dominion,27-6,0.6167,24.2,5.2,0.8231,0.5579 (61),0.5279,64,0.5479,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21,West Virginia,20-11,0.6141,16.8,9.4,0.6412,0.6269 (4),0.5612,3,0.605,20,
22,Xavier,24-7,0.6099,21.6,5.8,0.7883,0.5592 (56),0.533,56,0.5504,18,20
23,Kansas St,21-10,0.6098,17,8.8,0.6589,0.6197 (7),0.5411,11,0.5935,19,23
24,George Mason,26-6,0.6079,24.4,4.8,0.8356,0.5403 (88),0.5152,91,0.5319,,
25,UNLV,24-8,0.6072,22.8,8.8,0.7215,0.5826 (31),0.5419,32,0.569,,
26,St. John's,21-11,0.6064,17.8,9.8,0.6449,0.6105 (11),0.5596,10,0.5936,17,18
27,Vanderbilt,23-10,0.6052,19.4,9.2,0.6783,0.5996 (16),0.5433,18,0.5809,,24
28,Memphis,25-9,0.6,20.2,7.4,0.7319,0.5692 (42),0.5298,46,0.5561,,
29,Texas A&M,23-8,0.5996,19.4,7.2,0.7293,0.5655 (47),0.5382,44,0.5564,,21
30,Temple,25-7,0.5996,22.6,5.4,0.8071,0.5286 (108),0.534,92,0.5304,24,25
,,,,,,,,,,,,
,,,,,,,,,,,,
31,UAB,22-8,0.5939,20.4,6.8,0.75,0.5506 (74),0.5246,78,0.5419,,
32,Washington,23-10,0.5921,19.4,8.4,0.6978,0.5641 (48),0.5425,42,0.5569,,
33,Butler,22-9,0.5906,20.4,7.4,0.7338,0.5546 (67),0.5194,76,0.5429,,
34,Tennessee,19-14,0.5906,17,15.2,0.528,0.6447 (2),0.5449,2,0.6115,,
35,Harvard,21-6,0.5892,19.8,4,0.8319,0.5091 (142),0.5067,140,0.5083,,
36,Cincinnati,25-8,0.5885,21.4,7.6,0.7379,0.5318 (102),0.5524,83,0.5387,25,
37,Missouri,22-10,0.5869,16.4,7.6,0.6833,0.5569 (62),0.5503,47,0.5547,,
38,Villanova,21-11,0.5859,18.6,10.6,0.637,0.5727 (39),0.5612,33,0.5689,,
39,Penn State,19-14,0.5854,15,12.8,0.5396,0.6242 (5),0.5536,5,0.6006,,
40,Princeton,24-6,0.5853,23.6,4,0.8551,0.4884 (185),0.5095,170,0.4954,,
,,,,RPI Data,,,,,SOS,,Polls,
