Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,37,2,82.6,61.5,21.13,,4.13,,12.79,12.47,25.26,119.23,82.51,36.71
2,North Carolina,ACC,,33,7,84.4,70.6,13.83,,11.76,,16.92,7.91,24.84,122.33,86.92,35.41
3,West Virginia,Big 12,,28,9,81.5,66.7,14.78,,9.67,,14.63,9.83,24.45,118.49,84.37,34.12
4,Kentucky,SEC,,32,6,84.9,71.5,13.39,,10.49,,16.92,6.96,23.88,120.28,86.87,33.41
5,Villanova,Big East,,32,4,77.2,62.7,14.53,,9.28,,9.20,14.61,23.80,123.50,87.45,36.05
6,Kansas,Big 12,,31,5,83.2,71.9,11.31,,12.23,,16.58,6.95,23.53,123.67,89.65,34.02
7,Louisville,ACC,,25,9,77.3,66.0,11.32,,11.15,,10.35,12.13,22.47,118.44,85.52,32.93
8,Florida,SEC,,27,9,77.9,66.5,11.39,,11.01,,11.36,11.04,22.40,117.61,85.10,32.51
9,Duke,ACC,,28,9,80.8,70.2,10.65,,10.91,,13.15,8.41,21.56,122.70,91.17,31.53
10,Wichita State,MVC,,31,5,81.0,62.4,18.61,,2.96,,10.67,10.57,21.24,117.30,86.44,30.85
11,Oregon,Pac-12,,33,6,78.9,65.8,13.10,,8.38,,9.52,11.29,20.80,118.40,88.20,30.20
12,UCLA,Pac-12,,31,5,89.8,75.5,14.28,,6.39,,20.52,0.15,20.67,124.63,95.78,28.85
13,Virginia,ACC,,23,11,66.1,56.4,9.71,,10.93,,-1.49,22.12,20.63,114.37,81.99,32.38
14,Iowa State,Big 12,,24,11,80.8,72.3,8.57,,11.94,,12.54,7.97,20.51,119.92,90.84,29.09
15,Purdue,Big Ten,,27,8,79.7,68.4,11.34,,8.79,,11.54,8.59,20.13,118.48,88.85,29.63
16,Baylor,Big 12,,27,8,72.9,63.7,9.20,,11.87,,4.89,14.86,19.75,117.81,87.95,29.86
17,Wisconsin,Big Ten,,27,10,72.4,62.4,10.00,,9.40,,3.85,15.56,19.40,116.38,86.58,29.80
18,Oklahoma State,Big 12,,20,13,85.7,78.5,7.24,,12.22,,19.23,-0.04,19.19,125.05,97.65,27.40
19,Florida State,ACC,,26,9,82.1,72.1,10.00,,8.87,,13.22,5.65,18.87,117.54,90.36,27.18
20,Michigan,Big Ten,,26,12,75.0,66.4,8.63,,10.17,,7.68,11.13,18.80,123.68,94.53,29.14
21,Southern Methodist,AAC,,30,5,74.3,60.0,14.26,,4.45,,5.83,12.88,18.71,120.93,90.91,30.02
22,Cincinnati,AAC,,30,6,74.3,61.3,12.94,,5.49,,4.50,13.94,18.43,116.04,88.07,27.97
23,Arizona,Pac-12,,32,5,76.6,65.9,10.62,,7.63,,7.47,10.79,18.25,118.07,90.77,27.29
24,Notre Dame,ACC,,26,10,77.3,69.3,8.03,,9.78,,10.00,7.81,17.81,119.69,93.01,26.68
25,Butler,Big East,,25,9,76.3,68.9,7.47,,10.23,,8.45,9.25,17.70,119.19,92.47,26.71
26,South Carolina,SEC,,26,11,73.2,65.2,7.92,,10.16,,5.20,12.32,17.52,109.79,83.76,26.03
27,Creighton,Big East,,25,10,81.8,72.8,9.00,,8.95,,12.76,4.51,17.27,116.88,91.79,25.08
28,Saint Mary's (CA),WCC,,29,5,72.0,57.5,14.56,,2.19,,1.09,15.66,16.75,119.63,91.48,28.15
29,TCU,Big 12,,24,15,74.7,69.7,5.03,,10.95,,7.12,8.52,15.64,116.16,92.98,23.18
30,Marquette,Big East,,19,13,82.2,75.6,6.66,,8.60,,14.48,0.78,15.26,122.04,99.18,22.86
31,Kansas State,Big 12,,21,14,72.1,67.8,4.31,,10.48,,4.38,10.42,14.80,114.30,91.81,22.49
32,Xavier,Big East,,24,14,74.6,71.3,3.29,,11.51,,7.60,7.20,14.80,115.94,93.35,22.59
33,Indiana,Big Ten,,18,16,79.7,73.3,6.47,,8.16,,11.23,3.39,14.63,117.34,96.09,21.25
34,Minnesota,Big Ten,,24,10,75.2,69.4,5.74,,8.82,,7.61,6.95,14.56,109.07,87.65,21.42
35,Miami (FL),ACC,,21,12,69.0,64.1,4.91,,9.57,,0.43,14.05,14.48,110.75,89.05,21.70
36,Wake Forest,ACC,,19,14,82.8,78.4,4.39,,9.80,,14.95,-0.76,14.19,120.96,100.01,20.94
37,Texas Tech,Big 12,,18,14,73.3,67.1,6.25,,7.86,,3.31,10.80,14.11,115.27,93.60,21.68
38,Arkansas,SEC,,26,10,79.3,73.9,5.44,,8.60,,10.56,3.48,14.04,116.19,95.76,20.43
39,Northwestern,Big Ten,,24,12,71.1,65.5,5.58,,8.43,,2.90,11.12,14.02,111.60,90.43,21.17
40,Syracuse,ACC,,19,15,76.3,71.1,5.24,,8.47,,8.33,5.37,13.70,117.39,96.51,20.88
41,Vanderbilt,SEC,,19,16,71.1,68.1,2.97,,10.72,,3.95,9.75,13.69,113.82,92.70,21.11
42,Michigan State,Big Ten,,20,15,71.9,68.7,3.17,,10.50,,4.20,9.47,13.67,113.33,92.34,20.99
43,Clemson,ACC,,17,16,74.8,71.5,3.24,,9.98,,6.64,6.58,13.22,115.83,95.51,20.32
44,Dayton,A-10,,24,8,75.9,66.4,9.44,,4.27,,5.80,7.18,12.98,111.80,92.02,19.78
45,Rhode Island,A-10,,25,10,73.6,65.4,8.26,,4.62,,3.78,9.10,12.88,111.77,91.83,19.94
