Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kentucky,SEC (East),,28,5,87.4,69.0,18.36,,9.71,,18.84,9.23,28.07,,,
2,UCLA,Pac-10,,31,2,87.5,73.9,13.67,,10.03,,16.46,7.25,23.70,,,
3,North Carolina,ACC,,28,6,84.4,74.0,10.44,,13.14,,17.28,6.30,23.58,,,
4,Massachusetts,A-10,,29,5,80.9,65.7,15.12,,8.07,,12.67,10.52,23.19,,,
5,Maryland,ACC,,26,8,86.6,73.9,12.71,,10.44,,17.47,5.22,22.69,,,
6,Kansas,Big 8,,25,6,83.0,70.0,12.97,,10.02,,14.11,8.05,22.15,,,
7,Oklahoma State,Big 8,,27,10,77.3,64.3,12.95,,10.26,,6.97,14.75,21.72,,,
8,Virginia,ACC,,25,9,77.4,66.8,10.62,,10.02,,7.22,13.42,20.64,,,
9,Wake Forest,ACC,,26,6,71.4,62.8,8.59,,10.91,,3.55,15.95,19.50,,,
10,Connecticut,Big East,,28,5,86.0,74.4,11.58,,7.65,,15.98,3.25,19.23,,,
11,Arizona,Pac-10,,23,8,84.9,75.8,9.06,,10.35,,14.42,4.67,19.09,,,
12,Cincinnati,GMWC,,22,12,81.0,71.3,9.74,,8.87,,12.38,6.22,18.60,,,
13,Michigan State,Big Ten,,22,6,78.4,68.8,9.57,,7.92,,9.29,8.20,17.49,,,
14,Saint Louis,GMWC,,23,8,75.8,62.6,13.23,,4.08,,4.69,12.61,17.30,,,
15,Mississippi State,SEC (West),,22,8,73.4,64.6,8.80,,8.48,,3.53,13.76,17.28,,,
16,Arkansas,SEC (West),,32,7,87.6,79.9,7.72,,10.51,,17.91,-1.00,16.91,,,
17,Arizona State,Pac-10,,24,9,78.3,70.6,7.70,,9.00,,7.49,9.21,16.70,,,
18,Iowa State,Big 8,,23,11,76.7,67.6,9.09,,9.70,,5.34,11.23,16.57,,,
19,Villanova,Big East,,25,8,78.4,70.1,8.36,,8.30,,8.34,8.05,16.39,,,
20,Duke,ACC,,13,18,77.7,73.7,4.06,,11.82,,11.20,5.16,16.35,,,
21,Utah,WAC,,28,6,77.6,64.9,12.68,,4.85,,7.23,9.06,16.29,,,
22,Iowa,Big Ten,,21,12,83.5,74.5,9.00,,6.54,,14.08,1.83,15.91,,,
23,Texas,SWC,,23,7,92.9,80.8,12.07,,3.65,,18.73,-3.01,15.72,,,
24,Alabama,SEC (West),,23,10,73.0,64.1,8.88,,6.62,,1.36,14.14,15.50,,,
25,Florida,SEC (East),,17,13,72.6,68.6,4.03,,11.37,,4.87,10.53,15.40,,,
26,Syracuse,Big East,,20,10,82.4,73.4,8.97,,7.46,,11.42,3.94,15.36,,,
27,Oklahoma,Big 8,,23,9,81.7,73.6,8.13,,7.10,,10.19,5.03,15.22,,,
28,Georgia Tech,ACC,,18,12,80.0,74.1,5.87,,9.15,,11.10,3.91,15.01,,,
29,Indiana,Big Ten,,19,12,75.6,69.6,6.03,,9.03,,6.63,8.20,14.83,,,
30,Oregon,Pac-10,,19,9,85.2,80.4,4.75,,10.64,,15.28,-0.64,14.64,,,
31,Memphis,GMWC,,24,10,79.4,70.9,8.59,,5.81,,8.46,5.94,14.40,,,
